"Timestamp","TestName","Status","Details"
"2026-08-24 10:01:43","DC01 Erisilebilirligi","PASS","DC01 (10.30.0.10) aktif ve yanit veriyor."
"2026-08-24 10:01:43","SRV01 Erisilebilirligi","PASS","SRV01 (10.30.0.11) aktif ve yanit veriyor."
"2026-08-24 10:01:44","DNS lab.test Cozumlemesi","PASS","lab.test basariyla cozumlendi."
"2026-08-24 10:01:44","Active Directory Domain Erisimi","FAIL","Domain erisim hatasi: Exception calling ""GetComputerDomain"" with ""0"" argument(s): ""The user name or password is incorrect.
"""
"2026-08-24 10:01:44","DHCP Servis Durumu","PASS","DHCP Server servisi calisiyor."
"2026-08-24 10:01:45","File Server Paylasim Erisimi","PASS","\\SRV01\Shares paylasimina erisilebiliyor."
"2026-08-24 10:01:47","CL01 DHCP Lease Durumu","PASS","CL01 icin aktif IP kiralamasi bulundu (IP: 10.30.0.100)."
